car_id,price,Kilometers,hp,Brand,Sport,age,Users,gas,Metalilic,CC,Weight,QuartTax,Automatic,red,Owner_gender,door
4379,25370,24750,192,2,NO,13,1,374,NO,1900,1170,120,YES,NO,M,4
3807,77370,28110,192,4,NO,12,1,370,NO,2000,1195,190,YES,NO,F,4
540,22050,23380,192,2,YES,13,1,475,NO,1900,1186,160,YES,NO,M,4
4355,52440,23580,192,3,YES,13,1,516,YES,2200,1250,80,YES,YES,M,4
2352,59730,26090,192,4,YES,13,1,464,YES,2200,1250,80,YES,YES,M,4
4091,11400,26910,110,3,NO,11,1,372,NO,1900,1195,160,NO,NO,F,4
1774,25850,27950,110,5,NO,12,1,409,NO,1800,1170,120,YES,NO,M,4
238,10230,23620,110,2,NO,12,1,375,NO,1900,1186,120,NO,NO,F,4
3306,15830,26300,192,5,YES,13,1,579,NO,1900,1186,120,NO,NO,M,4
5021,18020,21520,192,1,NO,12,1,315,NO,2000,1195,160,YES,NO,F,4
426,12130,28850,90,4,NO,12,1,293,NO,1800,,100,NO,NO,M,4
975,17360,24250,90,3,NO,13,1,380,NO,1800,1170,100,YES,NO,M,4
3167,48240,30130,192,3,NO,12,1,419,YES,2200,1195,210,YES,NO,F,4
2702,50860,23230,110,6,YES,12,1,487,NO,1800,1170,120,YES,YES,M,4
3600,18990,24970,90,5,YES,12,1,514,YES,2200,1250,80,YES,NO,M,4
2836,20260,23690,110,5,NO,13,1,380,YES,2200,1250,80,YES,NO,F,4
3232,14170,26270,90,6,YES,12,1,632,NO,1900,1186,160,NO,NO,M,4
916,38070,26590,192,1,NO,13,2,390,NO,1600,1165,100,YES,NO,M,2
291,16750,32120,90,1,NO,11,1,375,NO,1800,1165,100,YES,NO,M,2
3868,12880,22290,110,5,NO,13,1,378,NO,1900,1186,160,NO,NO,F,4
5122,61780,32200,192,4,NO,12,1,354,NO,1900,,120,YES,NO,F,4
4572,12940,27130,90,4,YES,12,1,367,NO,1800,1170,100,NO,YES,M,4
4363,54320,33250,192,4,NO,13,1,,NO,2000,1195,160,YES,YES,F,4
178,23240,25580,110,5,NO,11,1,409,NO,1900,1186,120,YES,NO,F,4
58,15040,22410,192,6,YES,11,1,600,NO,1800,1165,100,NO,NO,M,2
327,20510,22710,90,3,NO,13,1,,NO,1900,1186,120,YES,NO,F,4
3255,9520,,110,1,YES,13,1,612,NO,1800,1170,100,NO,NO,M,4
2774,26600,31110,192,3,NO,13,1,343,NO,1900,1186,160,YES,NO,F,4
2872,48010,28680,90,6,YES,12,1,602,NO,2000,,190,YES,NO,M,4
1263,13060,31830,110,4,YES,13,1,573,NO,1900,1186,120,NO,NO,M,4
1254,27780,26500,192,4,NO,13,2,391,NO,1600,1165,100,YES,NO,M,2
1719,20060,24630,192,1,NO,12,1,327,NO,1900,1186,160,YES,NO,F,4
486,50740,27930,110,5,YES,13,1,668,NO,1900,1170,120,YES,NO,M,4
2086,21540,29610,110,4,NO,14,2,363,NO,1600,1165,100,YES,NO,M,2
614,14840,37580,192,6,YES,13,1,621,NO,2000,1195,190,NO,NO,M,4
3919,45020,31990,192,5,NO,12,1,370,YES,2200,,80,YES,NO,F,4
4536,30000,33120,110,4,NO,12,1,471,NO,1900,1186,120,YES,NO,F,4
5017,21930,38460,110,4,NO,13,1,355,YES,2200,1250,80,YES,NO,F,4
2844,43180,32580,110,5,NO,12,1,423,NO,2000,,190,YES,NO,F,4
2215,9980,,90,5,NO,12,1,343,NO,1600,1165,100,NO,NO,M,2
5229,16840,35370,110,1,NO,15,1,350,NO,1800,,100,YES,NO,M,4
1673,14030,36150,192,6,NO,12,1,380,NO,1800,1170,120,NO,NO,M,4
5215,23340,29000,110,3,NO,14,1,,NO,2000,1195,160,YES,NO,F,4
2547,26640,32770,192,2,NO,13,1,364,NO,1900,1186,120,YES,NO,F,4
3055,19640,29120,110,4,YES,12,2,543,NO,1600,,100,YES,NO,M,2
3481,21020,32840,110,4,YES,15,1,488,NO,1900,1170,120,YES,NO,M,4
715,12190,33970,90,1,NO,13,1,324,NO,2000,1195,190,NO,NO,F,4
1042,10850,29890,90,1,NO,14,1,342,NO,1800,1170,100,NO,NO,M,4
373,11570,37180,110,1,NO,13,1,383,NO,1800,,100,NO,NO,M,2
781,15180,34110,192,5,NO,16,1,326,NO,1900,1186,160,NO,NO,F,4
2040,13510,35940,192,2,YES,13,1,510,NO,1800,1170,120,NO,NO,M,4
2654,18340,31950,110,4,YES,11,1,520,NO,1800,1170,120,YES,NO,M,4
2313,13570,39830,90,6,NO,12,1,302,NO,1900,1186,160,NO,NO,F,4
5080,11130,,90,4,NO,13,2,365,NO,1600,1165,100,NO,NO,M,2
38,17100,39900,90,1,YES,12,1,549,NO,1900,1186,120,YES,NO,M,4
1879,12010,43420,90,4,YES,13,1,549,YES,2200,1250,80,NO,NO,M,4
13,29440,,90,5,NO,14,1,393,NO,1900,1186,160,YES,NO,F,4
1886,21040,32030,110,4,YES,13,1,484,NO,2000,1195,190,YES,NO,M,4
3528,18250,35250,70,4,NO,13,1,368,YES,2200,1250,80,YES,YES,F,4
906,20920,43790,192,1,NO,13,1,,NO,1900,1186,160,YES,NO,F,4
3781,54480,29190,192,5,NO,13,1,336,NO,1800,1170,100,YES,NO,M,4
5072,16390,,110,3,NO,14,1,345,NO,1900,1170,120,YES,NO,M,4
4967,11620,44600,192,2,NO,15,1,375,NO,2000,1195,190,NO,NO,F,4
2582,15420,32050,192,5,YES,13,1,,NO,1800,1165,100,NO,NO,M,2
5205,11280,,192,4,NO,13,1,435,NO,1800,1170,100,NO,NO,M,4
1680,26330,32420,90,6,YES,14,1,469,NO,1800,1170,120,YES,YES,M,4
3831,10940,40040,70,1,NO,14,1,307,NO,2000,1195,160,NO,NO,F,4
1901,20830,45680,90,6,NO,15,1,309,NO,1900,1186,120,YES,NO,F,4
250,22740,43400,90,4,NO,14,2,329,NO,1600,1165,100,YES,NO,M,2
713,24800,34290,70,5,NO,14,1,376,NO,1800,1170,120,YES,YES,M,4
2770,12190,33140,110,3,YES,14,1,496,NO,1900,,120,NO,NO,M,4
3332,18220,32480,110,4,YES,14,1,503,NO,2200,1195,190,YES,NO,M,4
2889,21250,44000,192,3,NO,14,1,402,NO,2200,1195,190,YES,NO,F,4
1787,24050,41670,192,2,NO,13,1,342,YES,2200,1195,210,YES,YES,F,4
979,20350,47230,90,3,NO,16,1,361,NO,1800,1170,120,YES,YES,M,4
337,19800,43830,90,3,NO,14,1,355,NO,1800,1170,120,YES,NO,M,4
4234,16840,34370,192,1,YES,15,1,470,NO,1900,1186,120,YES,NO,M,4
3584,15410,45890,192,5,YES,15,1,455,NO,1900,1170,120,NO,NO,M,4
3120,21720,38320,192,3,NO,15,1,297,NO,2000,1195,190,YES,NO,F,4
4134,20120,48540,90,5,NO,14,1,372,NO,1900,1186,160,YES,NO,F,4
2662,16530,45440,192,1,NO,16,1,378,NO,2000,1195,160,YES,YES,F,4
1176,24570,41270,192,2,YES,15,1,476,NO,1900,1186,160,YES,NO,M,4
2616,12080,49160,90,4,NO,14,1,,NO,2000,1195,190,NO,NO,F,4
492,12050,34190,110,2,NO,16,1,413,NO,1900,1170,120,NO,NO,M,4
563,25160,43720,90,4,YES,16,1,561,NO,2000,1195,160,YES,NO,M,4
471,39500,33910,70,3,NO,14,1,314,NO,1900,,160,YES,NO,F,4
4573,16630,49220,70,3,YES,15,1,419,YES,2200,1195,210,YES,NO,M,4
1327,23770,44190,90,3,NO,14,1,372,NO,1900,1186,160,YES,NO,F,4
1542,13010,39390,90,5,NO,15,1,319,NO,2000,1195,190,NO,NO,F,4
3370,12240,45500,90,2,NO,15,1,354,NO,1800,1165,100,NO,NO,M,2
733,20080,37170,90,6,NO,15,2,342,NO,1600,1165,100,YES,NO,M,2
2986,17920,33710,90,4,YES,15,1,547,NO,2200,1195,190,YES,NO,M,4
4371,17160,38200,110,2,YES,15,1,516,NO,2000,1195,160,YES,NO,M,4
2628,21960,49370,192,3,NO,14,2,333,NO,1600,,100,YES,NO,M,2
5043,15140,39010,192,4,NO,14,1,,NO,2200,1195,210,NO,NO,F,4
3846,13170,39820,90,5,NO,16,1,347,NO,1900,1170,120,NO,NO,M,4
3204,12610,34480,90,5,NO,16,1,295,NO,1900,1170,120,NO,NO,M,4
4333,58410,46290,192,3,NO,15,1,311,NO,1900,1186,160,YES,YES,F,4
285,26650,47160,192,4,YES,13,1,476,NO,2000,1195,190,YES,NO,M,4
3495,16890,46540,70,2,NO,14,1,288,NO,1900,1170,120,YES,NO,M,4
259,24610,43250,192,4,YES,15,1,461,NO,1800,1170,100,YES,NO,M,4
827,24420,46530,110,6,YES,15,1,541,NO,2000,1195,160,YES,NO,M,4
593,19270,50680,90,3,NO,13,1,403,NO,1900,1186,160,YES,NO,F,4
394,17810,41340,90,3,YES,15,1,,NO,1900,,160,YES,YES,M,4
2137,21260,36880,110,4,NO,15,1,323,NO,1800,1170,100,YES,NO,M,4
1318,12370,35920,110,5,YES,14,2,532,NO,1600,1165,100,NO,NO,M,2
4608,12410,36500,90,5,YES,15,1,615,NO,2000,1195,160,NO,NO,M,4
749,20070,41110,110,4,YES,16,1,526,NO,2000,1195,160,YES,NO,M,4
1978,33650,46530,192,5,NO,15,1,338,NO,1600,1165,100,YES,NO,M,2
5213,19310,51740,110,4,NO,15,1,388,NO,2000,1195,160,YES,NO,F,4
1428,24950,46860,90,5,YES,17,2,555,NO,1600,1165,100,YES,NO,M,2
2024,18300,49210,90,5,NO,15,1,398,NO,2000,1195,160,YES,NO,F,4
182,32620,44370,192,4,NO,15,1,356,NO,1800,1170,100,YES,NO,M,4
3272,12780,41530,192,2,YES,15,1,470,NO,2000,,160,NO,NO,M,4
3447,16240,,90,4,NO,15,1,362,NO,1800,1170,100,YES,YES,M,4
4089,17290,49710,110,3,NO,17,1,304,NO,1800,1170,120,YES,NO,M,4
139,48720,48470,192,2,NO,16,1,378,NO,2000,1195,160,YES,NO,F,4
4110,63890,46440,192,6,NO,15,1,351,NO,1900,1170,120,YES,NO,M,4
4266,20660,40550,192,2,YES,16,1,511,NO,2000,1195,160,YES,NO,M,4
3500,56890,52050,192,4,NO,15,1,357,NO,1900,1186,160,YES,NO,F,4
2437,13490,52700,110,5,NO,14,1,327,NO,2200,,190,NO,NO,F,4
1936,12410,39840,110,4,YES,14,2,451,NO,1600,,100,NO,NO,M,2
1933,16390,35800,90,4,YES,16,1,576,NO,1800,1170,100,YES,NO,M,4
2134,30470,45960,110,6,YES,17,2,555,NO,1600,1165,100,YES,NO,M,2
4412,18490,51090,90,3,NO,15,1,353,NO,1800,1165,100,YES,YES,M,2
2198,22490,49250,192,3,YES,14,1,426,NO,1800,1170,100,YES,NO,M,4
2519,18560,,90,6,YES,14,1,594,NO,1900,1170,120,YES,NO,M,4
1707,19330,50400,110,4,NO,15,1,372,NO,2000,1195,190,YES,NO,F,4
695,50320,54310,110,6,YES,14,1,540,NO,1900,1186,160,YES,YES,M,4
2533,19360,41630,110,4,NO,15,1,,NO,2000,1195,160,YES,NO,F,4
847,8740,,70,3,YES,16,1,523,YES,2200,1250,80,NO,NO,M,4
986,9650,45740,90,1,NO,15,1,370,NO,1800,1170,120,NO,NO,M,4
1085,23320,42910,110,6,YES,16,1,479,YES,2200,1250,80,YES,YES,M,4
2742,13840,49500,192,6,YES,13,1,393,NO,1900,,120,NO,NO,M,4
4251,13300,55390,110,5,NO,16,1,391,NO,2000,1195,160,NO,NO,F,4
2014,18330,42580,110,1,YES,16,1,413,NO,2000,1195,190,YES,YES,M,4
2989,14690,,70,3,NO,14,1,361,NO,1900,,120,YES,NO,F,4
3285,14020,48560,90,1,NO,16,1,393,NO,1800,1165,100,YES,NO,M,2
3838,17990,44280,110,4,NO,15,1,358,NO,2000,1195,190,YES,NO,F,4
363,16540,51480,90,3,YES,15,1,,NO,1800,1170,100,YES,YES,M,4
4816,16420,53740,110,5,NO,17,1,,NO,2200,1195,190,YES,NO,F,4
1475,19500,41720,90,4,YES,15,2,460,NO,1600,1165,100,YES,NO,M,2
472,32810,54530,90,6,NO,16,1,277,NO,1800,1170,100,YES,NO,M,4
1206,19460,55060,90,6,YES,16,1,532,NO,1900,1170,120,YES,NO,M,4
3775,9770,,90,6,NO,14,1,304,NO,2000,1195,190,NO,NO,F,4
4337,19090,49360,110,4,NO,14,1,331,YES,2200,1250,80,YES,NO,F,4
4240,18670,42610,70,5,NO,15,1,276,NO,1800,1170,120,YES,NO,M,4
4716,11830,52520,110,2,YES,15,1,532,NO,1800,1170,100,NO,YES,M,4
1449,52630,50430,192,4,YES,14,1,466,NO,1800,1165,100,YES,YES,M,2
3923,17970,43410,70,1,YES,17,1,,NO,1900,1195,160,YES,NO,M,4
3142,56090,41080,192,6,NO,15,1,332,NO,1900,1186,120,YES,NO,F,4
479,21730,38400,192,3,YES,16,1,491,NO,1900,1186,120,YES,YES,M,4
4012,15050,42250,192,5,NO,17,1,326,NO,1800,1170,100,NO,NO,M,4
4694,14150,37450,192,6,YES,17,1,487,NO,1800,1170,100,NO,YES,M,4
3707,44360,50980,192,5,NO,17,2,328,NO,1600,,100,YES,NO,M,2
5216,12770,53850,192,3,NO,16,1,399,NO,1900,1186,120,NO,NO,F,4
1758,12270,49940,192,1,NO,16,1,334,NO,2000,1195,160,NO,YES,F,4
526,18490,39990,70,4,YES,17,1,487,NO,1900,1186,120,YES,NO,M,4
2648,23050,40550,70,6,YES,15,1,488,NO,1900,1186,160,YES,NO,M,4
3324,13780,51450,192,2,YES,16,1,490,NO,2200,1195,210,NO,NO,M,4
1164,18360,44210,110,3,NO,15,1,392,NO,2000,1195,160,YES,NO,F,4
3633,19030,47480,192,2,NO,16,1,363,NO,1900,1186,160,YES,NO,F,4
4562,16670,47500,70,3,YES,16,1,559,NO,1900,1195,160,YES,YES,M,4
3164,12580,54950,192,3,YES,16,2,429,NO,1600,1165,100,NO,YES,M,2
4017,12660,50960,90,5,NO,16,1,345,NO,1900,1186,160,NO,NO,F,4
873,13930,,90,4,NO,16,1,347,NO,2000,1195,160,YES,NO,F,4
2699,13400,47850,110,6,NO,16,1,274,NO,1900,1186,120,NO,NO,F,4
3627,14760,51520,192,4,YES,16,1,435,NO,2200,1195,190,NO,NO,M,4
4757,57420,39810,192,5,NO,18,1,359,NO,1800,1170,120,YES,NO,M,4
1965,15190,50080,110,2,NO,14,1,,NO,1900,1186,120,YES,NO,F,4
4415,17280,41800,110,1,YES,17,1,420,YES,2200,1250,80,YES,NO,M,4
1274,14360,58430,192,6,NO,17,1,435,NO,1900,1186,120,NO,NO,F,4
2938,20280,58900,90,4,NO,16,1,329,NO,2000,1195,190,YES,NO,F,4
3467,16300,58540,110,1,NO,16,1,343,NO,1900,,120,YES,NO,M,4
2108,22720,58570,90,2,NO,16,1,356,NO,1800,1170,100,YES,NO,M,4
4715,25140,57540,192,4,NO,16,1,323,YES,2200,1250,80,YES,NO,F,4
2353,39160,52330,110,5,NO,16,1,365,NO,1800,1170,120,YES,NO,M,4
4365,13450,54790,110,5,NO,16,1,384,YES,2200,1250,80,NO,YES,F,4
4571,69710,57310,192,6,NO,16,1,430,NO,1800,1165,100,YES,NO,M,2
4322,21460,56730,192,2,NO,18,1,343,NO,1800,1170,120,YES,NO,M,4
3139,55730,38620,192,4,NO,17,1,400,NO,1900,1186,160,YES,YES,F,4
1824,12300,,192,4,NO,17,1,385,NO,2000,,160,NO,NO,F,4
4166,13190,47630,192,4,YES,17,1,640,NO,2000,1195,160,NO,NO,M,4
168,50390,57130,110,6,YES,15,2,528,NO,1600,1165,100,YES,YES,M,2
2467,13030,45150,90,5,YES,16,1,517,NO,2000,1195,190,NO,NO,M,4
5113,11620,47880,192,1,NO,15,1,266,NO,2000,1195,160,NO,NO,F,4
907,13990,39250,192,5,NO,15,1,295,NO,1900,1186,160,NO,NO,F,4
1669,16020,47610,70,2,NO,15,2,388,NO,1600,1165,100,YES,YES,M,2
2731,15440,60150,70,3,NO,16,1,412,NO,2000,1195,160,YES,NO,F,4
3975,36030,170720,110,6,NO,14,1,372,YES,2200,1250,80,YES,NO,M,4
4570,10710,,90,6,NO,17,1,381,NO,1800,1170,100,NO,NO,M,4
4296,13170,54750,192,2,NO,16,1,282,NO,2000,1195,160,NO,NO,F,4
4153,20640,154700,110,4,NO,17,1,379,YES,2200,1250,270,YES,NO,M,4
1942,20190,59410,192,1,NO,16,1,304,NO,1900,1170,120,YES,YES,M,4
4686,18870,51470,192,2,YES,17,1,605,NO,1800,1165,100,YES,YES,M,4
1762,19590,56310,90,2,YES,18,1,478,NO,2000,1195,160,YES,NO,M,4
2151,20030,43580,110,5,YES,18,2,652,NO,1600,1165,100,YES,NO,M,2
2430,21000,57800,110,6,NO,18,1,,NO,1900,,160,YES,NO,F,4
3772,21890,41840,192,4,YES,16,1,455,NO,2000,1195,190,YES,NO,M,4
451,35020,,192,3,NO,16,1,318,NO,1900,1186,120,YES,NO,F,4
3128,13400,54570,192,5,YES,16,2,513,NO,1600,,100,NO,NO,M,2
3452,18540,57390,90,6,YES,17,1,458,NO,1900,1186,160,YES,YES,M,4
4513,18380,39960,192,2,NO,17,1,316,YES,2200,1250,80,YES,NO,F,4
2950,65070,58670,192,5,NO,16,1,374,NO,2000,1195,160,YES,NO,F,4
306,22510,42670,110,3,YES,16,1,565,NO,1900,1186,160,YES,YES,M,4
410,12480,45820,192,3,NO,17,1,365,NO,2000,1195,160,NO,NO,F,4
1363,11890,56280,110,3,NO,17,1,349,NO,1800,1170,120,NO,NO,M,4
4552,12470,51920,110,5,NO,18,1,362,NO,1800,1170,100,NO,NO,M,4
1605,10510,,90,5,NO,15,1,398,NO,1900,,160,NO,NO,F,4
3011,13600,54590,90,5,NO,17,1,357,NO,2000,1195,160,NO,NO,F,4
2162,17270,60970,110,2,NO,17,1,323,NO,2000,,160,YES,NO,F,4
964,24260,49280,192,4,NO,17,2,346,NO,1600,1165,100,YES,NO,M,2
5239,12250,60450,110,3,NO,17,1,342,NO,2000,1195,190,NO,NO,F,4
950,11810,50040,90,1,NO,16,1,323,NO,1900,1170,120,NO,NO,M,4
5140,12830,45620,110,4,NO,17,1,331,NO,2000,1195,190,NO,NO,F,4
3034,12940,51750,192,3,YES,17,1,476,NO,1800,1170,120,NO,YES,M,4
966,13320,41870,110,4,YES,16,1,505,NO,1800,1170,100,NO,NO,M,4
4710,42220,43580,192,4,NO,17,1,329,NO,2000,1195,190,YES,NO,F,4
1472,11030,40760,110,1,YES,15,1,561,NO,1900,1186,120,NO,YES,M,4
4502,17910,53730,90,3,NO,17,1,309,NO,1900,1170,120,YES,NO,M,4
3254,12240,62470,70,6,NO,16,1,295,NO,1900,1186,120,NO,NO,F,4
4792,15710,41620,70,1,NO,16,1,312,NO,2000,1195,190,YES,NO,F,4
3874,10950,50600,90,3,NO,16,1,372,NO,1800,1170,120,NO,NO,M,4
3361,11910,51910,70,4,NO,16,1,355,YES,2200,1250,80,NO,NO,F,4
1225,8450,,90,2,YES,18,1,534,NO,1800,1170,120,NO,NO,M,4
4763,18600,45670,110,2,NO,16,1,281,NO,2000,1195,160,YES,NO,F,4
4073,12970,54820,110,5,NO,18,1,313,NO,2000,,190,NO,NO,F,4
1833,13580,53460,192,3,NO,19,1,266,NO,1900,1186,160,NO,NO,F,4
564,17710,63380,110,3,YES,17,1,383,NO,1900,1186,120,YES,NO,M,4
4304,15670,41270,110,1,YES,17,1,378,NO,2000,1195,190,YES,NO,M,4
2832,14910,173310,70,3,NO,17,1,326,YES,2200,1250,270,YES,NO,M,4
1447,12590,58130,110,4,NO,16,1,334,NO,1900,1186,160,NO,NO,F,4
2840,18140,64840,90,3,YES,17,1,488,NO,2000,1195,190,YES,YES,M,4
361,11350,53070,110,1,NO,18,1,373,NO,1900,1186,160,NO,YES,F,4
3789,18670,58840,110,2,NO,19,1,381,NO,1800,1170,100,YES,NO,M,4
3313,14460,60150,90,1,YES,17,1,559,YES,2200,1250,80,YES,NO,M,4
852,10590,49180,110,1,YES,16,1,569,NO,2200,1195,190,NO,YES,M,4
4689,73170,50840,192,6,YES,17,1,555,NO,1800,1170,120,YES,NO,M,4
4035,25470,45530,110,6,NO,17,1,,NO,1800,1170,120,YES,YES,M,4
2663,21190,59200,110,6,NO,15,1,411,NO,1900,1186,160,YES,NO,F,4
3724,16950,48050,192,2,NO,18,1,385,NO,2000,,190,YES,NO,F,4
2676,17090,,192,2,NO,17,1,311,NO,1900,1186,160,YES,NO,F,4
1791,24020,56090,70,6,NO,18,1,365,YES,2200,1250,80,YES,NO,F,4
4052,18400,63580,110,3,NO,18,1,283,NO,1900,1186,120,YES,NO,F,4
3371,16730,63150,90,3,NO,16,1,345,YES,2200,,80,YES,NO,F,4
2739,13210,47260,192,3,NO,18,1,339,NO,2000,,160,NO,NO,F,4
2204,54250,47350,90,6,NO,18,1,359,NO,1900,1186,160,YES,NO,F,4
2173,12520,58340,110,4,NO,17,1,274,NO,2000,1195,160,NO,YES,F,4
3816,12990,46510,192,2,YES,16,1,594,NO,1900,1186,160,NO,YES,M,4
824,13170,52910,192,4,NO,16,1,383,NO,1800,1170,100,NO,NO,M,4
4609,16730,45830,110,1,YES,17,1,567,YES,2200,1250,210,YES,NO,M,4
1171,25200,55430,192,3,NO,18,1,309,NO,2000,1195,190,YES,NO,F,4
1694,10120,66080,70,1,NO,18,1,411,NO,1900,1186,120,NO,NO,F,4
1153,55030,58270,192,5,NO,17,1,294,NO,1800,1165,100,YES,NO,M,2
4181,18980,47540,192,1,NO,17,1,396,NO,1800,1170,100,YES,YES,M,4
266,17110,,70,3,NO,17,1,359,NO,1800,,100,YES,NO,M,4
4450,10440,50190,110,1,YES,18,1,460,NO,2000,,190,NO,NO,M,4
151,12710,150240,192,5,YES,17,1,562,YES,2200,1250,270,NO,NO,M,4
5207,19670,61940,90,2,NO,15,1,371,NO,1900,,120,YES,NO,M,4
302,15100,63380,110,3,NO,18,1,331,NO,1900,1186,120,YES,NO,F,4
3177,23140,60780,110,5,NO,16,1,324,NO,1800,1170,120,YES,NO,M,4
3221,20100,66280,192,2,NO,17,2,351,NO,1600,1165,100,YES,NO,M,2
4778,56760,65180,192,5,YES,16,1,514,NO,1900,1186,160,YES,NO,M,4
3355,20790,44190,110,3,NO,18,1,361,NO,1800,1170,100,YES,NO,M,4
2695,12340,47120,192,3,YES,17,2,664,NO,1600,1165,100,NO,NO,M,2
3793,11700,59180,90,2,NO,16,1,330,NO,2000,1195,160,NO,NO,F,4
1657,22260,49970,192,3,NO,18,1,365,YES,2200,1250,80,YES,NO,F,4
910,16500,61010,90,5,NO,19,1,296,NO,1900,,120,YES,YES,F,4
2177,18740,,70,5,NO,18,1,382,NO,1800,,100,YES,NO,M,4
4468,15340,44860,110,3,YES,16,1,508,NO,1800,1170,100,YES,YES,M,4
4956,12730,,110,1,YES,16,2,497,NO,1600,1165,100,YES,NO,M,2
3430,28270,66990,110,4,NO,16,1,284,NO,1900,,120,YES,NO,F,4
2784,11900,51660,90,3,YES,17,1,532,NO,2000,1195,160,NO,NO,M,4
2462,20490,62540,90,6,YES,19,1,467,NO,2000,1195,160,YES,NO,M,4
3114,18460,61100,90,5,NO,18,1,337,NO,2200,1195,190,YES,NO,F,4
4122,49540,66950,192,6,NO,17,1,393,NO,1800,1170,100,YES,NO,M,4
3917,9860,68100,110,3,YES,17,1,538,YES,2200,1250,80,NO,NO,M,4
1849,11740,57940,90,4,NO,18,1,370,YES,2200,1250,80,NO,YES,F,4
3712,14250,44370,192,5,YES,19,1,602,NO,1900,1170,120,NO,NO,M,4
889,13000,51860,90,3,NO,18,1,300,NO,2000,1195,160,NO,NO,F,4
3619,11440,59190,70,2,NO,18,1,376,NO,2000,1195,190,NO,NO,F,4
1934,18830,44820,192,2,YES,17,1,516,NO,1800,1170,100,YES,YES,M,4
2982,12300,60040,90,4,NO,18,1,,YES,2200,1250,80,NO,NO,F,4
4493,22330,45350,110,5,NO,16,1,,NO,1900,1186,120,YES,NO,F,4
836,16690,45610,90,2,NO,18,1,353,NO,2000,1195,160,YES,NO,F,4
8,18880,68390,90,5,YES,18,1,588,YES,2200,,210,YES,YES,M,4
2522,20160,44250,70,4,NO,17,1,384,NO,2000,1195,160,YES,NO,F,4
3109,11760,66230,90,4,YES,17,1,476,NO,1900,1186,160,NO,NO,M,4
2541,22720,50400,192,4,YES,17,1,478,NO,1800,1170,100,YES,YES,M,4
5192,13310,62920,90,4,YES,18,1,516,NO,1900,1170,120,NO,NO,M,4
385,44900,67880,110,6,NO,17,1,361,NO,2000,1195,190,YES,NO,F,4
1613,24690,53360,110,5,NO,17,1,390,NO,1800,1170,120,YES,NO,M,4
390,44890,52690,110,5,NO,15,1,365,NO,1800,1170,120,YES,NO,M,4
650,16670,47970,90,3,NO,18,1,399,YES,2200,1250,80,YES,NO,F,4
1060,15540,63100,192,6,NO,17,1,338,NO,2000,1195,190,NO,NO,F,4
2036,20550,54690,110,4,YES,15,1,617,NO,2000,1195,190,YES,NO,M,4
234,17190,56870,70,5,YES,19,1,,NO,2200,1195,210,YES,NO,M,4
4083,18470,44680,90,3,YES,18,1,520,NO,2000,1195,190,YES,YES,M,4
